jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,33.99363,-201.0
0.0,1.8149264,33.646717,-176.39673
0.06860963,6.501521,34.64514,-117.152626
0.0,0.0,27.803274,-201.0
0.0,0.0,26.886919,-201.0
0.005048525,13.19039,20.398642,-70.49574
0.003083888,4.7627926,24.29052,-153.36426
0.0,0.0,16.892527,-201.0
0.0,0.0,23.21878,-201.0
0.0,0.0,12.642785,-201.0
0.0,0.0,23.456047,-196.19786
0.0093294745,21.04678,29.603998,-20.628077
0.00033108905,4.387078,35.201603,-137.22859
0.0,0.0,9.81364,-201.0
0.0,0.0,6.19639,-201.0
0.0053174156,5.2678704,12.961373,-145.34341
0.0,8.075455,31.150562,-130.31776
0.0,0.0,30.881277,-201.0
0.0,0.0,31.724354,-201.0
0.0,0.0,31.706749,-201.0
