jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,33.589684,-201.0
0.0,0.0,34.00625,-201.0
0.0,0.0,32.73654,-201.0
0.0,0.0,31.741327,-201.0
0.0,2.7341962,27.074009,-178.63425
0.0101901805,23.81076,30.040201,-2.416515
0.0033014389,18.332607,35.498245,-53.083874
0.0,8.238479,25.297155,-141.21829
0.0019715747,15.323449,29.877176,-86.91094
0.013736938,28.244736,31.34435,3.5591388
0.006935043,9.811496,30.838417,-132.6449
0.003177924,23.046926,16.342281,-59.344715
0.008747068,33.646988,16.678705,2.1766818
0.0029530234,17.019464,18.42,-99.29714
0.004648644,21.416452,14.140388,-38.3129
0.007438676,22.480007,25.397299,-39.447865
0.0,0.0,32.675888,-201.0
0.0,0.0,32.77566,-201.0
0.0,1.8073926,34.33423,-181.53044
0.008383865,14.717511,33.32955,-25.977142
