jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,33.28818,-201.0
0.0,0.0,34.703922,-196.12885
0.021113927,33.712185,30.404795,-8.321346
0.010578096,26.531528,34.344826,-45.27765
0.008438339,36.20767,17.996536,-0.027427355
0.0018420405,8.577488,17.782434,-160.2307
0.012596096,27.83475,27.708399,-40.807247
0.0062335003,25.125639,33.91038,-48.395554
0.0052143526,20.130175,25.375177,-67.919685
0.0052339965,30.701887,25.936909,0.99858445
0.0076318854,31.576675,35.02712,-24.291224
0.0046171364,8.654528,25.481022,-133.3301
0.0014138153,4.601546,22.10488,-165.65697
0.0,0.0,21.081789,-201.0
0.0,0.0,30.980515,-201.0
0.0,0.0,33.673504,-201.0
0.0,4.101216,36.145653,-156.56805
0.0,0.0,35.073124,-201.0
0.0,1.0492834,35.266396,-186.55098
0.0,3.1445127,35.15246,-158.02913
