jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0023636653,11.189761,31.320608,-144.29242
0.014631431,36.99355,26.407524,-13.214744
0.027585056,29.93293,19.760159,-67.52261
0.08486147,39.31375,19.105309,-5.849463
0.024349459,26.794168,31.790096,-64.73804
0.015971659,32.546795,26.04162,-17.65516
0.0065242895,16.412102,20.200993,-117.544556
0.024688156,21.838879,23.510984,-83.06235
0.0048365984,25.57317,20.244516,-59.011448
0.006013044,30.776754,20.942974,-25.066786
0.050416593,37.420273,22.778784,-9.979008
0.00638082,26.976484,16.529732,-65.22673
0.024348294,42.716278,18.750334,-9.184054
0.012216733,36.103806,24.562515,-33.232475
0.010686306,35.742813,18.537346,-34.170937
0.028999494,17.291924,19.870714,-120.650795
0.0039536464,15.808332,14.332038,-106.69479
0.008317049,17.521633,31.583931,-90.59523
0.0,0.0,35.179222,-201.0
0.0,0.0,47.154808,-201.0
