jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,39.86886,-201.0
0.0,10.355218,24.226702,-147.74391
0.007521172,25.508963,21.334976,-68.32274
0.0,0.0,4.7222605,-201.0
0.0,25.811941,13.048021,-67.47097
0.0042957016,25.842312,30.746233,-60.936714
0.0026642967,16.080328,18.04876,-107.40071
0.01154361,32.211124,27.735645,-22.99702
0.011514877,32.711502,38.220287,-19.905893
0.004745459,8.425882,16.728992,-152.94485
0.0,19.829914,20.330425,-94.05739
0.0,0.0,17.803059,-201.0
0.0,0.0,15.38769,-201.0
0.0,0.0,28.457554,-201.0
0.0,0.0,29.058672,-201.0
0.00590619,20.641773,14.237254,-92.5587
0.012624742,18.25906,25.557077,-97.14985
0.013016103,27.412281,35.725616,-60.700752
0.0,0.0,28.486835,-201.0
0.0,0.0,40.406326,-201.0
