jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,32.933807,-201.0
0.0,17.393242,9.910076,-106.67802
0.039574254,36.01294,27.136147,-4.473837
0.004712552,10.182146,22.43654,-148.48166
0.021460345,38.536564,32.292706,-13.840448
0.012312933,38.429855,28.714764,-8.544953
0.0011778309,5.486951,14.299524,-180.65894
0.009359941,28.80405,14.544228,-53.432396
0.0020273617,4.770995,24.25404,-175.875
0.004936987,33.056587,20.586668,-39.510803
0.027151687,35.53353,28.6605,-6.5577316
0.04353731,36.608757,21.622272,-16.16764
0.0,0.0,-1.0528988,-192.51706
0.0,0.0,-10.29858,-201.0
0.014455253,23.905525,17.486029,-63.905167
0.0131996935,32.63205,33.092613,-30.493189
0.0,0.0,17.451412,-193.81247
0.0,0.0,8.305889,-201.0
0.0,0.0,16.785133,-201.0
0.0,0.0,39.07385,-201.0
