jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,43.41119,-201.0
0.0030833425,12.864264,24.618433,-113.545654
0.0,0.0,6.9653873,-201.0
0.0,0.0,5.4575415,-201.0
0.0,0.0,2.2665699,-201.0
0.0017221941,4.213943,18.601774,-143.02936
0.031229919,17.802464,29.095322,8.647407
0.029830454,20.800997,23.761263,-63.072826
0.09042723,18.892326,25.189312,-38.180466
0.028516408,28.383148,36.389717,-18.848675
0.004188871,5.344288,32.588566,-165.24069
0.0,0.0,16.356422,-201.0
0.0,0.0,21.065235,-201.0
0.0,0.0,19.184666,-201.0
0.0,0.0,30.377687,-201.0
0.0,0.0,29.679047,-201.0
0.0095726,8.7979965,13.681823,-130.636
0.0,5.9043913,28.950666,-153.26283
0.0,0.0,26.777246,-201.0
0.0,0.0,24.681343,-201.0
