jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.008009757,7.825617,25.708357,-150.35687
0.032081965,11.675481,30.791655,-97.545876
0.0,0.0,15.371808,-199.03044
0.045439288,14.68559,25.086853,-84.93605
0.0058962577,8.418277,27.690233,-141.48088
0.01337131,17.430079,24.091494,-86.71147
0.048646487,10.76217,26.802622,-127.48334
0.0,0.0,38.789883,-201.0
0.0,0.0,40.287098,-201.0
0.0,0.0,32.923206,-201.0
0.003329428,3.4441452,28.595257,-165.43996
0.0024449495,2.9522207,21.152416,-170.33319
0.0,0.0,28.829088,-201.0
0.0,0.0,41.157665,-201.0
0.0,0.0,45.105568,-201.0
0.0,0.0,43.09522,-201.0
0.0026241362,3.782836,24.828093,-164.28952
0.0,0.0,18.215937,-201.0
0.0033973085,6.572798,25.439682,-160.63356
0.003620715,6.4817457,31.644154,-159.93353
