jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,18.721594,-201.0
0.013121878,21.057976,4.641871,-74.67272
0.00642057,16.882315,11.087009,-104.55132
0.00742568,33.446358,13.056477,-12.201809
0.08418223,36.27889,17.113379,-7.706482
0.0010907487,3.2860715,16.428474,-185.25171
0.016656829,27.065027,10.730514,-49.147938
0.01626205,22.461702,18.00904,-54.852077
0.043867752,36.66843,10.923684,-0.84766597
0.009146194,19.911951,17.675705,-108.96539
0.009710568,19.087736,12.428767,-102.988
0.026826616,39.822124,13.050873,1.4641826
0.0035025005,15.759884,6.259459,-117.91036
0.0,9.744731,11.561694,-154.02148
0.019803535,29.746557,14.675918,-58.342594
0.0055574295,24.386719,17.809013,-62.122463
0.047509167,25.266901,16.356665,-7.4959507
0.023414562,21.158045,16.409632,-6.410709
0.013041484,14.052489,29.165718,-81.346886
0.0,0.0,31.617552,-201.0
