jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,8.529645,28.187807,-139.70496
0.011583908,24.547388,24.295465,-15.043835
0.002463014,9.531463,23.072325,-109.575714
0.0,1.8437549,14.245072,-184.68666
0.01254532,13.696609,27.934807,-66.83445
0.0037522465,6.3084836,14.4390745,-152.9547
0.0,0.0,27.757448,-195.01997
0.006057872,11.167161,11.259064,-111.70737
0.010243963,24.171883,16.669085,-13.0307045
0.017246164,22.189667,27.357536,-16.826979
0.022877904,19.425402,26.74444,-24.50531
0.013777405,19.485273,20.656517,-10.03284
0.021839073,21.502512,17.76761,-9.090225
0.015839605,23.268213,23.618652,-12.758557
0.022690708,21.736359,22.976637,-31.942625
0.019039921,17.749556,26.191736,-23.322584
0.058662105,17.465826,25.977495,-26.095543
0.039911814,17.600466,31.09858,-30.229927
0.0138923265,6.8825107,32.287018,-127.643486
0.0,0.0,42.024487,-201.0
