mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
23.874693,32.58368,19.102333,17.477468,0.0,0.0
23.632416,32.494858,18.352251,15.40717,0.0,0.0
22.513128,30.543945,16.10436,12.692441,0.0,0.0
21.88816,29.050814,14.704137,13.425926,0.0,0.0
21.545914,27.93912,15.365059,17.666704,0.0,0.0
22.486298,30.6741,18.116411,19.92615,0.0,0.0
21.990927,30.868425,17.344053,15.601161,0.0,0.0
22.292105,30.231554,15.895078,11.430264,0.0,0.0
22.209549,28.631393,14.899429,12.549924,0.0,0.0
22.94795,27.585596,14.14449,14.394089,0.0,0.0
22.25476,29.078863,15.162365,17.637201,0.0,0.0
22.004982,30.430708,15.93031,17.818144,0.0,0.0
21.746298,29.644033,15.265523,18.371656,0.0,0.0
21.156897,27.657883,14.365243,14.055138,0.0,0.0
22.629618,26.273293,12.987384,13.564021,0.0,0.0
22.905493,26.26896,15.024456,13.435326,0.0,0.0
24.708496,29.282883,16.656906,17.449915,0.0,0.0
23.967865,30.372644,18.044065,16.5376,0.0,0.0
24.722868,31.399908,16.728022,15.142436,0.0,0.0
24.202375,30.27465,16.000107,14.804072,0.0,0.0
23.063845,28.104403,13.537746,16.588373,0.0,0.0
22.412415,28.136414,13.750469,15.467591,0.0,0.0
23.180853,28.15767,13.556228,15.391675,0.0,0.0
24.677094,29.069298,12.662178,12.098587,0.0,0.0
24.873596,27.845062,10.776324,10.258742,0.0,0.0
24.144249,26.63799,7.818966,7.058993,0.0,0.0
24.07395,26.426079,9.146761,8.963239,0.0,0.0
24.22254,26.514944,12.872323,12.85262,0.0,0.0
24.435843,27.872492,16.842667,15.649266,0.0,0.0
22.782297,26.85266,17.041899,17.23974,0.0,0.0
22.060953,29.12081,16.361628,14.543326,0.0,0.0
21.352278,29.29689,16.06292,13.370277,0.0,0.0
22.059618,28.52236,14.919948,8.162464,0.0,0.0
23.106531,26.773993,15.008876,11.992816,0.0,0.0
24.19412,25.603834,15.335376,10.692603,0.0,0.0
25.63224,28.563217,18.403143,12.093052,0.0,0.0
25.78493,30.771355,19.717007,11.232341,13.207579,0.0
25.822245,31.579948,19.106869,12.950085,13.658825,0.0
